acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
212,1190,1427,1,53,2,20190607_p165_slide41_ac1_vz
212,1194,1431,13,53,2,20190607_p165_slide41_ac1_vz
212,1198,1435,17,53,2,20190607_p165_slide41_ac1_vz
213,1204,1361,2,17,1,20190607_p165_slide41_ac1_vz
214,1205,1362,1,18,1,20190607_p165_slide41_ac1_vz
218,1209,1366,1,24,1,20190607_p165_slide41_ac1_vz
219,1210,1367,1,25,1,20190607_p165_slide41_ac1_vz
221,1217,1374,4,27,1,20190607_p165_slide41_ac1_vz
222,1219,1376,10,31,1,20190607_p165_slide41_ac1_vz
222,1223,1380,14,31,1,20190607_p165_slide41_ac1_vz
45,1236,2533,9,33,3,20190621_p165_slide44_ac1_vz
230,1252,2309,2,21,1,20190618_p161_slide32_ac2_vz
